stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
120_117_1000,0.16831238779098603,0.28812907695599915,0.3434065934034487,0.2481800132346249,0.1395128880974986,0.09455581991156808,0.5384404549814993,0.8775645268034414,0.6673934708267381
120_117_1001,0.16888888888813827,0.2889733791746014,0.3486238532078108,0.24675324675164448,0.14598288536370066,0.09455581991156808,0.5362613528534634,0.874025974025974,0.6646962487762926
120_117_1002,0.1792452830180627,0.30399999514267,0.3663911845696383,0.25976562499830885,0.14291500345415312,0.09455581991156749,0.5396481732070365,0.8795572916666666,0.6688974839546544
120_117_1003,0.16846361185908149,0.2883506295051988,0.34530386740013536,0.24752475247361372,0.1432017963356193,0.09455581991157065,0.5279536575508554,0.8739273927392739,0.6582486581780254
120_117_1004,0.17196596506864323,0.29346579569467973,0.3578751164924709,0.24870466321082446,0.14406697283262404,0.09455581991156828,0.5322493953238376,0.8652849740932642,0.6590856168218664
120_117_1005,0.16903914590672137,0.2891932980607306,0.3548085900993949,0.24405908798815634,0.14308230180514905,0.09455581991156828,0.5329389620865824,0.8786127167630058,0.6634499509250973
120_117_1006,0.17289509229998698,0.2948176535063812,0.35887850466954324,0.2501628664478817,0.14277554049321198,0.09455581991156828,0.5335570469798657,0.8625407166123779,0.6592871736646889
120_117_1007,0.17135207496576818,0.29257142374556167,0.3602251407095664,0.24631173829219816,0.14331848082039428,0.09455581991156828,0.534288775783552,0.8659397049390635,0.6608376674516839
120_117_1008,0.16973506959959705,0.2902111276002373,0.35459662288597943,0.2456140350861234,0.14601283608108123,0.09455581991157065,0.5272337000268312,0.8700454840805718,0.6565864598827994
120_117_1009,0.1686151079129109,0.28857252304368414,0.34916201116993334,0.24590163934264983,0.1439544461761777,0.09455581991156907,0.5285426460711887,0.8747540983606558,0.658940946523244
120_117_100,0.032364597093577516,0.06269993143228622,0.0879712746842375,0.04870775347864108,0.37264310685029484,0.3305218981051546,0.15216619318181818,0.279324055666004,0.19700874976087132
120_117_1010,0.17377495462716075,0.2960958590820476,0.3579439252302996,0.252471984177637,0.14405760997410347,0.09455581991156828,0.5293724073330657,0.8707976268951879,0.658457503714854
120_117_1011,0.16956124314364918,0.2899570096145779,0.35266159695482263,0.24618447246021113,0.14346913384960108,0.09466701837706241,0.5253942796043839,0.8699402786994028,0.655128392012431
