stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
120_117_1000,0.16831238779098603,0.28812907695599915,0.3434065934034487,0.2481800132346249,0.11814481428259552,0.08454011741683054,0.6161023727006132,0.9043570669500531,0.7329054843843541
120_117_1001,0.16888888888813827,0.2889733791746014,0.3486238532078108,0.24675324675164448,0.12385743907448986,0.08454011741683054,0.6132025450689289,0.8923719958202717,0.7269049263114179
120_117_1002,0.1792452830180627,0.30399999514267,0.3663911845696383,0.25976562499830885,0.12147119967219364,0.08454011741683054,0.6156904320169626,0.9022316684378321,0.731915559953782
120_117_1003,0.16846361185908149,0.2883506295051988,0.34530386740013536,0.24752475247361372,0.11765592016494762,0.08454011741683054,0.6080148619957537,0.8945147679324894,0.7239501421131506
120_117_1004,0.17196596506864323,0.29346579569467973,0.3578751164924709,0.24870466321082446,0.11644999672145576,0.08454011741683054,0.6134075251722311,0.8917793964620188,0.7268521684405321
120_117_1005,0.16903914590672137,0.2891932980607306,0.3548085900993949,0.24405908798815634,0.11439443098338462,0.08454011741683054,0.6115088835852559,0.9035269709543569,0.7293751682444352
120_117_1006,0.17289509229998698,0.2948176535063812,0.35887850466954324,0.2501628664478817,0.11305321981766128,0.08454011741683054,0.6163838812301167,0.8910994764397906,0.7287103335661533
120_117_1007,0.17135207496576818,0.29257142374556167,0.3602251407095664,0.24631173829219816,0.11275118406777464,0.08454011741683054,0.6179120296767355,0.8901437371663244,0.7294564720781129
120_117_1008,0.16973506959959705,0.2902111276002373,0.35459662288597943,0.2456140350861234,0.11178275605527796,0.08454011741683054,0.6101964949548593,0.9024896265560166,0.7281034649369915
120_117_1009,0.1686151079129109,0.28857252304368414,0.34916201116993334,0.24590163934264983,0.11076327025458645,0.08454011741683054,0.609678277053975,0.9050104384133612,0.728552600320546
120_117_100,0.032364597093577516,0.06269993143228622,0.0879712746842375,0.04870775347864108,0.33537921825723715,0.29647058823529404,0.1770392749244713,0.3383333333333333,0.2324465285664435
120_117_1010,0.17377495462716075,0.2960958590820476,0.3579439252302996,0.252471984177637,0.11204600010624582,0.08454011741683054,0.6107578166401696,0.89798087141339,0.7270295871864874
120_117_1011,0.16956124314364918,0.2899570096145779,0.35266159695482263,0.24618447246021113,0.10798879189839083,0.08454011741683054,0.6100662251655629,0.9027777777777778,0.7281044527263781
120_117_1012,0.17181818181740083,0.2932505770046964,0.3572778827943547,0.24868421052467973,0.10481780261484328,0.08454011741683054,0.6113756613756614,0.9054621848739496,0.7299099766624831
120_117_1013,0.16530054644733472,0.28370456725432974,0.34505703421725237,0.24087591240716075,0.1028829737437909,0.08454011741683054,0.6116993118051879,0.8946259220231823,0.7265921660236278
120_117_1014,0.17432862994913825,0.2968992199698306,0.3630331753520092,0.2511475409819597,0.10283484168243695,0.08454011741683054,0.6105820105820106,0.897489539748954,0.7267439849286413
120_117_1015,0.17405063291060557,0.296495952043982,0.36423841059258055,0.24999999999837663,0.09332301324670748,0.08454011741683054,0.6140770252324037,0.9081419624217119,0.7327054985282189
120_117_1016,0.16887871853469621,0.28895849162907516,0.35076045627043007,0.24567243674936304,0.09690148619561806,0.08454011741683054,0.6081296493092455,0.9027484143763214,0.726713937028649
120_117_1017,0.1699051061899236,0.29045963209579234,0.3567362428808659,0.24495114006355082,0.08980726855682278,0.08454011741683054,0.6154256738724313,0.8977272727272727,0.73024264911508
120_117_1018,0.16794236830181025,0.28758673379945365,0.3535545023663171,0.24236517218815878,0.08958321459704338,0.08454011741683054,0.6159188034188035,0.8973029045643154,0.7304491135906832
120_117_1019,0.16764572977782358,0.2871516979509833,0.3513257575724307,0.24280104711882985,0.0896511150811683,0.08454011741683054,0.6175213675213675,0.8918067226890757,0.7297415411306826
120_117_101,0.03543307086590924,0.06844106002313208,0.0947368421036011,0.05357142857089711,0.34105153780415665,0.29918762881803823,0.18227179336659818,0.34838709677419355,0.23932941065519506
