stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
020_117_1000,0.19927536231793808,0.3323262790851473,0.38698328935455606,0.29119788219529325,0.09722432040238602,0.05983752576360746,0.678391959798995,0.8490967056323061,0.7542057593718339
020_117_1001,0.19102621057223002,0.32077582502256274,0.3768624013989758,0.2792207792189661,0.10073505532243615,0.05983752576360746,0.6784299603889089,0.8338557993730408,0.7481558952019544
020_117_1002,0.20511669658794832,0.3404096785277808,0.397737162746756,0.2975260416647297,0.09659378247186781,0.059837525763607374,0.6870477568740955,0.8437832093517534,0.7573917307349017
020_117_1003,0.20063262539448426,0.33421151184423487,0.388791593691867,0.29306930692875865,0.0975008583775391,0.05983752576360746,0.6804347826086956,0.8396624472573839,0.7517091930442529
020_117_1004,0.20822041553654824,0.34467289231287,0.40760389035890715,0.298575129531745,0.09509045681444027,0.059837525763607145,0.6825627957772115,0.841831425598335,0.7538769166175849
020_117_1005,0.20715883668811116,0.3432171930407144,0.405784399645874,0.2973667308908326,0.09458514946316376,0.0598375257636073,0.6796222302942245,0.8516597510373444,0.7559768909036882
020_117_1006,0.20649233543639994,0.3423019383046362,0.4014022786993742,0.2983713355029422,0.09391922439234567,0.05983752576360746,0.6804949053857351,0.8481675392670157,0.7551355600159223
020_117_1007,0.20652659812156224,0.3423490132728368,0.40526315789118195,0.29634381013280087,0.09363499503821189,0.0598375257636073,0.6861393323657474,0.8480492813141683,0.7585507527730899
020_117_1008,0.19438252340528586,0.32549458264114145,0.38245614034752234,0.2833008447025127,0.09376447027133636,0.059837525763607374,0.6863818912011683,0.8454356846473029,0.7576512366461019
020_117_1009,0.19211822660012487,0.32231404469057806,0.37730870712069214,0.2813114754079914,0.09390191332397835,0.0598375257636073,0.6851110302147798,0.8455114822546973,0.756906728030317
020_117_100,0.04212454212428496,0.08084358039593707,0.09843081312270427,0.06858846918420886,0.41640231515881876,0.3492111331786209,0.18231540565177756,0.44,0.25780746055524134
020_117_1010,0.20071845532015845,0.33433058596321885,0.38634399308222694,0.29466051417076694,0.09399330002798578,0.05983752576360746,0.681537903518317,0.8490967056323061,0.756145955933073
020_117_1011,0.19167039856609194,0.3216835726879767,0.37088388214583295,0.28400796283819507,0.09384330715850156,0.05983752576360746,0.6811279826464208,0.8557692307692307,0.7585261537128618
020_117_1012,0.20179372197218928,0.33582089061010256,0.3879310344794144,0.2960526315769997,0.09249917647341065,0.05983752576360746,0.6838102136906917,0.8592436974789915,0.7615542248064807
020_117_1013,0.18747223456158388,0.315750088606882,0.36192109776705045,0.2800265427984073,0.0935167680130122,0.05983752576360746,0.6812590448625181,0.8493150684931506,0.7560608317099248
020_117_1014,0.19070796460092607,0.32032701106579725,0.36963979416492593,0.2826229508178189,0.09247586184520543,0.05983752576360746,0.6824471959213402,0.8462343096234309,0.7555664483705571
020_117_1015,0.19902482269415328,0.3319778139476141,0.38540772531858025,0.29155844155654836,0.08932169088706661,0.0598375257636073,0.6909355660720786,0.8580375782881002,0.7654731499985059
020_117_1016,0.1943573667702895,0.3254593126626945,0.37253218883800404,0.2889480692390882,0.09116115068973148,0.059837525763607374,0.6853070175438597,0.8520084566596194,0.7596194539835485
